address,name,shape
0x004045B0,??__Fg_UNUSED_SPRITE_VAR04@@YAXXZ,seam_forwarding
0x004045C0,??__Eg_UNUSED_SPRITE_VAR01@@YAXXZ,seam_forwarding
0x004045E0,??__Fg_UNUSED_SPRITE_VAR01@@YAXXZ,seam_forwarding
0x004045F0,??__Eg_UNUSED_SPRITE_VAR18@@YAXXZ,seam_forwarding
0x00404610,??__Fg_UNUSED_SPRITE_VAR18@@YAXXZ,seam_forwarding
0x00404620,??__Eg_UNUSED_SPRITE_VAR03@@YAXXZ,seam_forwarding
0x00404640,??__Fg_UNUSED_SPRITE_VAR03@@YAXXZ,seam_forwarding
0x00404650,??__Eg_UNUSED_SPRITE_VAR20@@YAXXZ,seam_forwarding
0x00404670,??__Fg_UNUSED_SPRITE_VAR20@@YAXXZ,seam_forwarding
0x00404680,??__Eg_UNUSED_SPRITE_VAR16@@YAXXZ,seam_forwarding
0x004046A0,??__Fg_UNUSED_SPRITE_VAR16@@YAXXZ,seam_forwarding
0x004046B0,??__Eg_UNUSED_SPRITE_VAR14@@YAXXZ,seam_forwarding
0x004046D0,??__Fg_UNUSED_SPRITE_VAR14@@YAXXZ,seam_forwarding
0x004046E0,??__Eg_UNUSED_SPRITE_VAR22@@YAXXZ,seam_forwarding
0x00404700,??__Fg_UNUSED_SPRITE_VAR22@@YAXXZ,seam_forwarding
0x00404710,??__Eg_UNUSED_SPRITE_VAR10@@YAXXZ,seam_forwarding
0x00404730,??__Fg_UNUSED_SPRITE_VAR10@@YAXXZ,seam_forwarding
0x00404740,??__Eg_UNUSED_SPRITE_VAR15@@YAXXZ,seam_forwarding
0x00404760,??__Fg_UNUSED_SPRITE_VAR15@@YAXXZ,seam_forwarding
0x00404770,??__Eg_UNUSED_SPRITE_VAR13@@YAXXZ,seam_forwarding
0x00404790,??__Fg_UNUSED_SPRITE_VAR13@@YAXXZ,seam_forwarding
0x004047A0,??__Eg_UNUSED_SPRITE_VAR17@@YAXXZ,seam_forwarding
0x004047C0,??__Fg_UNUSED_SPRITE_VAR17@@YAXXZ,seam_forwarding
0x004047D0,??__Eg_UNUSED_SPRITE_VAR19@@YAXXZ,seam_forwarding
0x004047F0,??__Fg_UNUSED_SPRITE_VAR19@@YAXXZ,seam_forwarding
0x00404800,??__Eg_UNUSED_SPRITE_VAR12@@YAXXZ,seam_forwarding
0x00404820,??__Fg_UNUSED_SPRITE_VAR12@@YAXXZ,seam_forwarding
0x00404830,??__Eg_UNUSED_SPRITE_VAR07@@YAXXZ,seam_forwarding
0x00404850,??__Fg_UNUSED_SPRITE_VAR07@@YAXXZ,seam_forwarding
0x00404900,?close@Popup@@QAEXXZ,straight_line
0x00404F80,?on_redraw_nc@Popup@@QAEXPAURECT@@H@Z,straight_line
0x00405020,?on_adjust_button_width@Popup@@QAEXXZ,straight_line
0x00405B10,?on_dialog_back_draw@Popup@@QAEHPAUGraphicWin@@@Z,straight_line
0x004066C0,sub_4066c0,loop
0x00406820,sub_406820,straight_line
0x00406840,sub_406840,straight_line
0x00406880,??1FlatButton@@QAE@XZ,loop
0x004068E0,??_GFlatButton@@UAEPAXI@Z,straight_line
0x00406910,??1Dialogs@@QAE@XZ,loop
0x00406A80,sub_406a80,straight_line
0x00406AF0,sub_406af0,straight_line
0x00406B20,nullsub_27,straight_line
0x00406B30,sub_406b30,straight_line
0x00406B40,??_GBasePop@@UAEPAXI@Z,straight_line
